,Image,y0,x0,y1,x1
0,w_7812.jpg,70,818,1618,2366
1,w_4598.jpg,524,175,2048,1853
2,w_3828.jpg,409,844,2017,2452
3,w_8734.jpg,517,1199,1365,2047
4,w_3251.jpg,0,909,1277,2283
5,w_8063.jpg,492,1066,1680,2254
6,w_5624.jpg,795,1136,2017,2358
7,w_825.jpg,677,1021,1747,2091
8,w_3974.jpg,0,1522,1778,3554
9,w_3049.jpg,17,859,1467,2309
10,w_6660.jpg,53,1772,3456,5184
11,w_3909.jpg,119,434,1807,2122
12,w_2632.jpg,0,1524,2932,4506
13,w_7754.jpg,499,584,1789,1874
14,w_1681.jpg,731,1368,1651,2288
15,w_4130.jpg,735,1438,1757,2460
16,w_1194.jpg,387,1006,1663,2282
17,w_5390.jpg,680,1444,2048,3050
18,w_8923.jpg,98,591,1544,2037
19,w_8790.jpg,807,677,1989,1859
20,w_4522.jpg,1066,1234,2946,3114
21,w_6695.jpg,432,262,1804,1634
22,w_1052.jpg,0,688,821,1650
23,w_7212.jpg,349,780,1635,2066
24,w_735.jpg,975,1283,1903,2211
25,w_3805.jpg,16,998,2048,3072
26,w_707.jpg,61,1150,1457,2546
27,w_9271.jpg,1053,1306,1495,1748
28,w_7097.jpg,522,710,1668,1856
29,w_3779.jpg,1264,1612,2780,3128
30,w_5312.jpg,110,148,1930,1968
31,w_6038.jpg,115,1882,2455,4222
32,w_5859.jpg,462,1774,2528,3840
33,w_6731.jpg,848,2311,1772,3235
34,w_4144.jpg,1091,1165,1933,2007
35,w_4817.jpg,861,1042,1727,1908
36,w_2319.jpg,830,1238,2048,2568
37,w_446.jpg,243,1098,1233,2088
38,w_8673.jpg,0,546,1410,2308
39,w_5770.jpg,33,1241,1973,3181
40,w_133.jpg,23,884,1213,2074
41,w_3003.jpg,702,779,2048,2351
42,w_5033.jpg,320,1017,2822,3519
43,w_6015.jpg,298,531,1264,1497
44,w_6511.jpg,493,337,2048,1951
45,w_2935.jpg,474,785,1722,2033
46,w_4664.jpg,549,993,2048,2571
47,w_5938.jpg,0,571,1151,1835
48,w_8430.jpg,1004,868,1934,1798
49,w_9105.jpg,312,909,1524,2121
50,w_6365.jpg,943,1925,2827,3809
51,w_2577.jpg,70,1509,1640,3072
52,w_8281.jpg,0,242,1553,1796
53,w_3392.jpg,0,1024,1175,2382
54,w_9358.jpg,0,1421,1397,2891
55,w_8357.jpg,402,515,1558,1671
56,w_2883.jpg,526,517,1608,1599
57,w_1087.jpg,664,1402,1850,2588
58,w_9328.jpg,464,1124,1836,2496
59,w_4469.jpg,146,358,1718,1930
60,w_3983.jpg,913,1024,2048,2400
61,w_4441.jpg,443,1477,1869,2903
62,w_7702.jpg,782,640,3456,3450
63,w_1325.jpg,500,559,1986,2045
64,w_7416.jpg,510,1154,2174,2818
65,w_4213.jpg,0,497,1016,1767
66,w_869.jpg,187,2424,2633,4870
67,w_9376.jpg,291,1,1913,1623
68,w_5075.jpg,890,870,2708,2688
69,w_1057.jpg,356,710,1740,2094
70,w_4261.jpg,278,547,1676,1945
71,w_4974.jpg,706,993,2010,2297
72,w_2469.jpg,458,814,2048,2662
73,w_3807.jpg,1980,1039,3392,2451
74,w_1264.jpg,645,1219,1867,2441
75,w_6066.jpg,159,1140,1597,2578
76,w_6052.jpg,1058,0,2048,1140
77,w_5811.jpg,340,893,1910,2463
78,w_3444.jpg,1423,1068,3393,3038
79,w_8582.jpg,476,803,1548,1875
80,w_8962.jpg,335,910,1505,2080
81,w_6326.jpg,729,1194,1669,2134
82,w_2989.jpg,148,978,2488,3318
83,w_5587.jpg,780,732,1970,1922
84,w_7405.jpg,664,302,2148,1786
85,w_527.jpg,297,862,1381,1946
86,w_2302.jpg,1733,2192,3005,3464
87,w_3403.jpg,761,1752,1681,2672
88,w_7462.jpg,0,528,1557,2184
89,w_3777.jpg,446,1041,1576,2171
90,w_4895.jpg,190,754,1316,1880
91,w_6563.jpg,1316,1969,2740,3393
92,w_6882.jpg,218,618,1196,1596
93,w_4706.jpg,473,970,1403,1900
94,w_2578.jpg,260,1013,1730,2483
95,w_9406.jpg,1299,919,3456,3191
96,w_4071.jpg,640,1100,1416,1876
97,w_2212.jpg,768,993,1830,2055
98,w_8153.jpg,209,249,2048,2327
99,w_3648.jpg,495,1435,1431,2371
100,w_5084.jpg,185,1142,1485,2442
101,w_1654.jpg,762,1214,1754,2206
102,w_6801.jpg,520,1461,2732,3673
103,w_6612.jpg,364,1020,1200,1856
104,w_5032.jpg,279,1459,2048,3072
105,w_1115.jpg,0,903,1975,3013
106,w_7935.jpg,324,653,1490,1819
107,w_2185.jpg,578,237,2048,1789
108,w_6303.jpg,711,877,1917,2083
109,w_4961.jpg,453,1216,2999,3762
110,w_4435.jpg,682,1429,3424,4171
111,w_112.jpg,774,1175,1452,1853
112,w_7622.jpg,0,940,1552,2814
113,w_6262.jpg,291,1336,1577,2622
114,w_8756.jpg,0,844,1446,2374
115,w_4277.jpg,473,1073,1339,1939
116,w_1683.jpg,379,905,1659,2185
117,w_1477.jpg,237,1406,1945,3072
118,w_4236.jpg,178,0,1748,1555
119,w_2078.jpg,589,1665,1303,2379
120,w_353.jpg,0,812,1010,1976
121,w_3326.jpg,752,1633,3416,4297
122,w_4561.jpg,0,2892,2518,5184
123,w_8024.jpg,415,765,1475,1825
124,w_7828.jpg,231,1087,1707,2563
125,w_1766.jpg,338,1045,2048,2761
126,w_1992.jpg,43,756,1315,2028
127,w_4436.jpg,76,895,2004,2823
128,w_7392.jpg,159,696,1329,1866
129,w_3237.jpg,55,47,2048,2043
130,w_354.jpg,345,978,1611,2244
131,w_2133.jpg,325,1158,1771,2604
132,w_8556.jpg,312,152,3312,3152
133,w_7218.jpg,0,1262,471,1770
134,w_8157.jpg,791,1153,1457,1819
135,w_8666.jpg,1498,1393,3456,3515
136,w_3159.jpg,693,1291,2048,2781
137,w_6141.jpg,385,487,1707,1809
138,w_5262.jpg,622,580,2004,1962
139,w_1953.jpg,675,993,1847,2165
140,w_4488.jpg,56,811,1562,2317
141,w_3144.jpg,525,979,1107,1561
142,w_3875.jpg,0,60,1484,1712
143,w_2462.jpg,1066,1053,2048,2273
144,w_3239.jpg,139,939,1063,1863
145,w_142.jpg,272,951,1902,2581
146,w_3770.jpg,232,1140,1226,2134
147,w_3415.jpg,0,746,1596,2514
148,w_5177.jpg,48,787,1422,2161
149,w_7852.jpg,151,1521,1613,2983
150,w_3131.jpg,0,1101,1197,2347
151,w_1617.jpg,968,4513,2064,5184
152,w_9126.jpg,188,1032,1490,2334
153,w_6867.jpg,0,872,1023,2084
154,w_8868.jpg,1023,1134,1873,1984
155,w_2322.jpg,60,742,1220,1902
156,w_3007.jpg,447,963,1711,2227
157,w_6357.jpg,438,912,2048,2782
158,w_4134.jpg,500,422,1996,1918
159,w_3935.jpg,0,1462,1047,2572
160,w_9197.jpg,0,989,2811,3855
161,w_4927.jpg,598,874,1508,1784
162,w_3527.jpg,629,1227,1467,2065
163,w_7093.jpg,156,182,1698,1724
164,w_6276.jpg,595,874,1867,2146
165,w_3776.jpg,420,458,1966,2004
166,w_8299.jpg,757,347,3245,2835
167,w_1856.jpg,0,906,1444,2548
168,w_6828.jpg,320,745,1710,2135
169,w_8918.jpg,809,1174,2048,2426
170,w_4515.jpg,298,865,1386,1953
171,w_9464.jpg,1338,2156,2948,3766
172,w_2254.jpg,592,633,1836,1877
173,w_6707.jpg,259,591,1279,1611
174,w_6054.jpg,680,974,1836,2130
175,w_710.jpg,584,1478,2048,2964
176,w_3627.jpg,556,1034,2048,2600
177,w_1063.jpg,386,31,2048,1773
178,w_3969.jpg,864,751,1864,1751
179,w_3339.jpg,107,793,1569,2255
180,w_3420.jpg,835,614,1807,1586
181,w_6665.jpg,739,1388,1709,2358
182,w_4240.jpg,606,1248,1324,1966
183,w_6110.jpg,423,487,1635,1699
184,w_9084.jpg,567,1335,1559,2327
185,w_6620.jpg,392,751,3174,3533
186,w_5557.jpg,1379,2260,3107,3988
187,w_9465.jpg,0,168,1265,1526
188,w_7070.jpg,210,728,1930,2448
189,w_317.jpg,536,828,2048,2372
190,w_348.jpg,327,1556,1479,2708
191,w_3625.jpg,292,1016,1802,2526
192,w_8547.jpg,326,148,1976,1798
193,w_4181.jpg,663,1027,2048,2549
194,w_1438.jpg,181,393,1477,1689
195,w_6336.jpg,1847,1392,3456,3494
196,w_8377.jpg,679,701,1811,1833
197,w_4028.jpg,186,917,1292,2023
198,w_3074.jpg,436,987,1818,2369
199,w_256.jpg,1067,1439,1641,2013
200,w_8140.jpg,162,1244,1172,2254
201,w_5805.jpg,232,760,1584,2112
202,w_6447.jpg,0,0,2048,2718
203,w_1975.jpg,83,467,1289,1673
204,w_8475.jpg,580,599,1862,1881
